Keywords	Subject
esl futurelearn intermediate guide writing english university study	ESL
grammar & writing futurelearn writing academic essay english academic purposes	Grammar & Writing
culture futurelearn spanish across americas beginners	Culture
esl coursera ell success content classroom capstone project	ESL
grammar & writing edx effective business writing	Grammar & Writing
grammar & writing edx writing process	Grammar & Writing
literature coursera sharpened visions poetry workshop	Literature
foreign language edx english journalists, part 2	Foreign Language
esl edx english journalists, part 1	ESL
history edx civil war reconstruction 1850-1861 house divided	History
religion edx religion, conflict peace	Religion
history edx 中国古代礼义文明 | china’s ancient ritual civilization	History
grammar & writing edx writing, presenting submitting scientific papers english | 英文科技论文写作与学术报告	Grammar & Writing
history coursera jewish diaspora modern china	History
literature edx 唐宋词鉴赏 | ci poems tang song dynasty	Literature
sports coursera sustainability through soccer systems-thinking action	Sports
philosophy edx plato, socrates, birth western philosophy | 西方哲学精神探源	Philosophy
foreign language edx mandarin chinese first steps chinese	Foreign Language
philosophy edx ethics life sciences healthcare exploring bioethics through manga	Philosophy
literature edx la letteratura latina età post-augustea	Literature
religion edx kabbalah	Religion
literature edx shakespeare matters	Literature
culture edx 汉语与文化交际 chinese cultural communication	Culture
esl coursera write professional emails english	ESL
humanities coursera journalism, future, you!	Humanities
foreign language coursera business english basics	Foreign Language
philosophy coursera 哲学导论（中文版）	Philosophy
religion coursera soul beliefs causes consequences unit 1 historical foundations	Religion
history coursera wonders ancient egypt	History
culture coursera american deaf culture	Culture
history coursera understanding china, 1700-2000 data analytic approach, part 1	History
philosophy coursera основы философии о чем спорят философы сегодня	Philosophy
foreign language coursera 商务英语课程 市场与营销英语 marketing & sales	Foreign Language
philosophy coursera 莊子─姿勢、意識與感情 (zhuangzi─posture, awareness, sentiment)	Philosophy
history coursera coexistence medieval spain jews, christians, muslims	History
history coursera санкт-петербург – столица империи петра i	History
grammar & writing coursera write publish scientific paper (project-centered course)	Grammar & Writing
grammar & writing coursera english journalism	Grammar & Writing
humanities futurelearn genealogy researching your family tree	Humanities
grammar & writing coursera redacción de documentos empresariales de gran impacto	Grammar & Writing
foreign language coursera english career development	Foreign Language
history coursera understanding 9/11 why 9/11 happened & terrorism affects our world today	History
foreign language coursera chino básico la etiqueta social en los negocios	Foreign Language
literature coursera leer macondo la obra de gabriel garcía márquez	Literature
history coursera big history from big bang until today	History
grammar & writing coursera writing your world finding yourself academic space	Grammar & Writing
foreign language coursera teach english now! foundational principles	Foreign Language
foreign language coursera academic discussions english	Foreign Language
history coursera modern world, part two global history since 1910	History
grammar & writing coursera scholarly communication	Grammar & Writing
philosophy edx conscious mind philosophical road trip	Philosophy
foreign language coursera pluralidades em português brasileiro	Foreign Language
philosophy coursera soul beliefs causes consequences unit 3 does it all end?	Philosophy
grammar & writing edx write novel edit & revise	Grammar & Writing
humanities stanford openedx sports university	Humanities
literature nptel postcolonial literature	Literature
history coursera chinese culture contemporary china	History
history futurelearn american south	History
foreign language futurelearn spanish beginners 1 meeting greeting	Foreign Language
foreign language futurelearn italian beginners 1 meeting, greeting eating	Foreign Language
culture coursera america through foreign eyes	Culture
grammar & writing coursera creative writing craft style	Grammar & Writing
literature futurelearn robert burns poems, songs legacy	Literature
history coursera age jefferson	History
history coursera kennedy half century	History
grammar & writing coursera creative writing craft setting description	Grammar & Writing
literature federica dante tra poesia e scienza	Literature
history coursera big history connecting knowledge	History
literature coursera plagues, witches, war worlds historical fiction	Literature
foreign language futurelearn spanish beginners 6 out about	Foreign Language
foreign language futurelearn spanish beginners 5 getting things done	Foreign Language
grammar & writing coursera creative writing craft plot	Grammar & Writing
history edx arab-islamic history from tribes empires	History
literature edx poetry america civil war its aftermath	Literature
foreign language futurelearn italian beginners 6 out about	Foreign Language
literature edx poetry america emily dickinson	Literature
literature edx poetry america nature nation, 1700-1850	Literature
culture edx china humanities individual chinese culture	Culture
literature edx poetry america whitman	Literature
foreign language polimi open knowledge ita101 benvenuti italia! orientarsi con l'italiano	Foreign Language
literature edx poetry america poetry early new england	Literature
literature edx fantastic places, unhuman humans exploring humanity through literature	Literature
sports futurelearn english football social history	Sports
foreign language futurelearn irish 101 irish language gaelic culture	Foreign Language
history miríada x navarra historia y cultura	History
foreign language coursera русский как иностранный b1+. часть 2. russian as foreign language. b1+. part 2.	Foreign Language
foreign language coursera chinese hsk 3 part i	Foreign Language
foreign language coursera management skills international business	Foreign Language
philosophy coursera conflict transformation	Philosophy
philosophy coursera intellectual humility theory	Philosophy
grammar & writing coursera academic literacy	Grammar & Writing
foreign language edx basic mandarin chinese – level 2	Foreign Language
grammar & writing coursera verb tenses passives	Grammar & Writing
literature coursera 唐詩新思路	Literature
sports coursera international entertainment sports marketing	Sports
grammar & writing coursera perfect tenses modals	Grammar & Writing
philosophy coursera politics skepticism	Philosophy
foreign language coursera chinese hsk 2	Foreign Language
grammar & writing coursera noun clauses conditionals	Grammar & Writing
grammar & writing coursera technical writing	Grammar & Writing
grammar & writing coursera la recherche documentaire	Grammar & Writing
philosophy coursera 東亞儒學：孟子二 (east asian confucianisms mencius 2)	Philosophy
culture coursera 商务英语课程 财经英语 finance & economics	Culture
foreign language coursera more chinese beginners	Foreign Language
grammar & writing coursera be persuasive write convincing position paper or policy advice (project-centered course)	Grammar & Writing
foreign language coursera business english planning & negotiating	Foreign Language
foreign language coursera business english networking	Foreign Language
esl coursera speak english professionally person, online & phone	ESL
history coursera arch titus rome menorah	History
esl coursera teach english now! capstone project 1	ESL
literature coursera читаем русскую классику вместе. м. булгаков «мастер и маргарита»	Literature
culture coursera understanding china, 1700-2000 data analytic approach, part 2	Culture
sports coursera doping sports, organizations sciences	Sports
foreign language coursera teach english now! lesson design assessment	Foreign Language
foreign language coursera towards language universals through lexical semantics lexical semantic typology	Foreign Language
foreign language coursera 商务英语课程 管理与领导力英语 management & leadership	Foreign Language
foreign language coursera teach english now! theories second language acquisition	Foreign Language
foreign language france université numerique la francophonie essence culturelle, nécessité politique	Foreign Language
grammar & writing coursera conjunctions, connectives, adverb clauses	Grammar & Writing
foreign language miríada x lexicografía didáctica española uso y aplicaciones de los diccionarios	Foreign Language
history futurelearn world war 1 trauma memory	History
philosophy miríada x paz y noviolencia	Philosophy
literature canvas network literature change europe	Literature
foreign language france université numerique paroles de fle {français langue etrangère}	Foreign Language
foreign language rwaq (رواق) مقدمة إلى دراسات الترجمة	Foreign Language
"literature edx ""pride prejudice"" by austen berkeleyx book club"	Literature
history iversity orientierung geschichte	History
history canvas network missouri's civil war	History
literature miríada x maestros de la poesía hispánica	Literature
history futurelearn world war 1 changing faces heroism	History
esl france université numerique l'anglais pour tous spice your english	ESL
literature coursera leer macondo la obra de gabriel garcía márquez	Literature
grammar & writing coursera 论文写作初阶（academic writing research）	Grammar & Writing
foreign language novoed as evidence improving ells’ argumentation skills through formative assessment practices	Foreign Language
foreign language france université numerique cours de français langue étrangère	Foreign Language
foreign language miríada x instrucción gramatical y virtual ele	Foreign Language
esl novoed using communication-focused activities designated english language development lessons	ESL
foreign language novoed using complex texts develop language	Foreign Language
literature coursera spacebooks. extraterrestrial literature	Literature
grammar & writing novoed writers write fiction	Grammar & Writing
grammar & writing miríada x cómo elaborar un texto académico en humanidades y ciencias sociales	Grammar & Writing
humanities edx de méxico al mundo, los ingredientes	Humanities
philosophy coursera fantasy science fiction human mind, our modern world	Philosophy
grammar & writing miríada x redacción en internet	Grammar & Writing
philosophy nptel issues bioethics	Philosophy
history edx 00690242x historical relic treasures cultural china	History
history gacco ga029 大航海時代の日本：日欧文化交流の歴史(ヒストリア)	History
grammar & writing coursera crafting effective writer tools trade (fundamental english writing)	Grammar & Writing
grammar & writing canvas network stunt writing personal growth	Grammar & Writing
philosophy coursera think again reason argue	Philosophy
history futurelearn world war 1 aviation comes age	History
esl nptel practical english teaching	ESL
sports coursera global business sports	Sports
history futurelearn world war 1 paris 1919 new world order?	History
history futurelearn modern korean history liberation, war nuclear ambitions	History
foreign language rwaq (رواق) مدخل لمدرسي اللغة العربية للناطقين بغيرها	Foreign Language
history coursera freedom protest magna carta its legacies	History
philosophy france université numerique philosophie et modes de vie ; de socrate à pierre hadot et michel foucault	Philosophy
grammar & writing emma culture et ecriture numériques	Grammar & Writing
history canvas network history boston	History
history france université numerique la première guerre mondiale expliquée à travers ses archives	History
culture futurelearn lips teeth korea china modern times	Culture
religion edx hds1544.1x early christianity letters paul	Religion
literature coursera shakespeare community	Literature
religion rwaq (رواق) جدلية الدين والواقع	Religion
philosophy coursera mathematical philosophy	Philosophy
grammar & writing canvas network writers write poetry	Grammar & Writing
foreign language coursera corrección, estilo y variación lingüística	Foreign Language
literature coursera australian literature rough guide	Literature
philosophy coursera les problèmes métaphysiques à l’épreuve de la politique, 1943-1968	Philosophy
religion rwaq (رواق) أسس ترجمة النصوص الدينية الإسلامية	Religion
literature futurelearn shakespeare's hamlet text, performance culture	Literature
grammar & writing redacción para la comunicación	Grammar & Writing
philosophy rwaq (رواق) خيرة العقول المسلمة في القرن العشرين	Philosophy
grammar & writing france université numerique comprendre le transmedia storytelling	Grammar & Writing
history coursera history slave south	History
history rwaq (رواق) الفصل 2 بيت المقدس بين الاحتلال والتحرير 1099-1244	History
literature rwaq (رواق) literary narrative الأدب السردي	Literature
foreign language desire2learn le@f english @fanshawe	Foreign Language
literature edx hum2.5x ancient greek hero 24 hours (hours 22-24) plato beyond	Literature
foreign language coursera auf deutsch communicating german across cultures	Foreign Language
religion canvas network understanding world religions occupational approach	Religion
history novoed global history lab, part 2	History
sports coursera representing professional athlete	Sports
grammar & writing canvas network digital journalism	Grammar & Writing
philosophy edx china300x chinese thought ancient wisdom meets modern science	Philosophy
literature edx hum2.4x ancient greek hero 24 hours (hours 16-21) hero tragedy	Literature
literature edx hum2.3x ancient greek hero 24 hours (hours 12-15) cult heroes	Literature
culture edx 00690242_2x historical relic treasures cultural china part 2	Culture
sports open education by blackboard origins progression sports america	Sports
history canvas network world columbian exposition	History
philosophy canvas network human nature film topics philosophy	Philosophy
culture coursera latino popular culture clueless	Culture
foreign language miríada x conocer el mediterráneo	Foreign Language
foreign language coursera 中国古代文化	Foreign Language
humanities coursera sustainability practice	Humanities
grammar & writing coursera writing ii rhetorical composing	Grammar & Writing
literature edx hum2.2x ancient greek hero 24 hours (hours 6-11) signs hero epic iconography	Literature
culture canvas network ozarks history examining american culture	Culture
foreign language canvas network cada dia spanish daily conversations	Foreign Language
history open education by blackboard history terrorism	History
foreign language rwaq (رواق) isra102 بيت المقدس ومسجده الأقصى المكان والمكانة	Foreign Language
literature edx hum2.1x ancient greek hero 24 hours (hours 1-5) epic lyric	Literature
foreign language rwaq (رواق) isra101 المدخل لبيت المقدس	Foreign Language
literature coursera fiction relationship	Literature
philosophy janux philosophy human destiny	Philosophy
history canvas network history vietnam war	History
sports canvas network mega events inside fifa world cup	Sports
grammar & writing canvas network thinking like writer	Grammar & Writing
grammar & writing coursera fundamentos de la escritura en español	Grammar & Writing
philosophy coursera technology ethics	Philosophy
grammar & writing investigative journalism digital age	Grammar & Writing
culture coursera latin american culture	Culture
grammar & writing first business mooc informer et communiquer sur les réseaux sociaux	Grammar & Writing
literature coursera 唐诗宋词人文解读 appreciation tang song poetry	Literature
grammar & writing upv [x] preparació nivell c1 (suficiència) de valencià	Grammar & Writing
grammar & writing upv [x] preparació nivell c2 (superior) de valencià	Grammar & Writing
grammar & writing coursera 媒介批评 理论与方法 media criticism theory method	Grammar & Writing
literature every atom walt whitman’s song myself	Literature
history rwaq (رواق) مدخل إلى تاريخ الأندلس، الفردوس المفقود	History
grammar & writing social media journalists basics	Grammar & Writing
history mujeres coraje. desafíos en la historia	History
religion rwaq (رواق) مبادئ تأسيسية في طبيعة النص القرآني	Religion
religion rwaq (رواق) البحث عن دين الفطرة	Religion
literature edx ai12.2x poetry america whitman	Literature
philosophy open education by blackboard logic paradoxes	Philosophy
foreign language spanish basics	Foreign Language
grammar & writing dq001 ecrire une oeuvre de fiction	Grammar & Writing
sports open education by blackboard subject is sports	Sports
philosophy coursera modern european mysticism psychological thought	Philosophy
philosophy coursera neuroethics	Philosophy
grammar & writing open education by blackboard ready college english	Grammar & Writing
grammar & writing canvas network x-word grammar simple sentence	Grammar & Writing
philosophy open education by blackboard isocrates	Philosophy
philosophy coursera practical ethics	Philosophy
history coursera history world since 1300	History
philosophy canvas network bioethics	Philosophy
history coursera holocaust	History
grammar & writing coursera first-year composition 2.0	Grammar & Writing
history canvas network u.s. history first peoples civil war reconstruction	History
foreign language coursera science, technology, society china i basic concepts	Foreign Language
philosophy canvas network life prep	Philosophy
philosophy canvas network ethics values multicultural world	Philosophy
philosophy coursera rationing allocating scarce medical resources	Philosophy
philosophy coursera know thyself	Philosophy
culture miríada x pervivencia de la mitología clásica en la cultura occidental	Culture
foreign language miríada x alemán para hispanohablantes nociones fundamentales	Foreign Language
humanities openlearning box'tag	Humanities
grammar & writing miríada x preparació per al nivell c1 de valencià	Grammar & Writing
grammar & writing canvas network writing history	Grammar & Writing
foreign language canvas network improving your spanish pronunciation	Foreign Language
esl miríada x inglés profesional professional english	ESL
grammar & writing canvas network english composition i	Grammar & Writing
history canvas network history ancient civilization	History
philosophy edx animal ethics	Philosophy
history canvas network u.s. history 2	History
culture futurelearn virtual hong kong new world, old traditions	Culture
grammar & writing futurelearn writing better emails	Grammar & Writing
religion futurelearn qur'an between judaism christianity	Religion
philosophy edx power responsibility doing philosophy superheroes	Philosophy
humanities france université numerique vine & wine	Humanities
foreign language futurelearn norwegian	Foreign Language
literature descubre don quijote de la mancha parte ii capítulos 1 74	Literature
literature discover don quijote de la mancha part i chapters 1 52	Literature
literature discover don quijote de la mancha part ii chapters 1 74	Literature
business edx lean production	Business
literature descubre don quijote de la mancha parte i capítulos 1 52	Literature
humanities canvas network media meal planning	Humanities
esl canvas network (k-12) teaching math english language learners	ESL
entrepreneurship kadenze tax basics creative entrepreneurs	Entrepreneurship
project management miríada x agilidad y lean. gestionando los proyectos y negocios del s	Project Management
industry specific edx music business	Industry Specific
human resources canvas network global human capital trends	Human Resources
project management coursera project management basics success	Project Management
management & leadership coursera inspiring leadership through emotional intelligence	Management & Leadership
accounting coursera forensic accounting fraud examination	Accounting
marketing coursera consumer neuroscience & neuromarketing	Marketing
entrepreneurship start startup	Entrepreneurship
strategic management coursera advanced competitive strategy	Strategic Management
project management open education by blackboard project management basics	Project Management
marketing edx digital branding engagement	Marketing
entrepreneurship futurelearn business 1 vision opportunity	Entrepreneurship
strategic management certificate program public procurement	Strategic Management
business intelligence open2study business asia	Business Intelligence
strategic management edx supply chain fundamentals	Strategic Management
business intelligence coursera business metrics data-driven companies	Business Intelligence
management & leadership coursera international leadership organizational behavior	Management & Leadership
management & leadership open2study leadership identity, influence power	Management & Leadership
entrepreneurship coursera new venture finance startup funding entrepreneurs	Entrepreneurship
entrepreneurship coursera innovation entrepreneurs from idea marketplace	Entrepreneurship
management & leadership coursera strategy what managers can learn from philosophy part 1	Management & Leadership
management & leadership open2study strategic management	Management & Leadership
finance open2study financial literacy	Finance
marketing coursera viral marketing craft contagious content	Marketing
entrepreneurship coursera becoming changemaker social innovation	Entrepreneurship
marketing coursera digital analytics marketing professionals marketing analytics theory	Marketing
marketing open2study online advertising	Marketing
strategic management coursera foundations business strategy	Strategic Management
project management canvas network project management business professionals	Project Management
human resources open2study human resources	Human Resources
finance coursera financial markets	Finance
strategic management coursera competitive strategy	Strategic Management
entrepreneurship udacity build startup	Entrepreneurship
strategic management coursera operations management	Strategic Management
project management open2study principles project management	Project Management
management & leadership coursera critical perspectives management	Management & Leadership
finance coursera computational investing, part i	Finance
entrepreneurship coursera developing innovative ideas new companies first step entrepreneurship	Entrepreneurship
accounting coursera financial accounting	Accounting
project management coursera fundamentals project planning management	Project Management
entrepreneurship open2study innovation powerful outcomes	Entrepreneurship
marketing coursera marketing	Marketing
marketing coursera introducción al marketing	Marketing
management & leadership coursera gestión de las empresas de alimentación y bebidas	Management & Leadership
management & leadership coursera leadership through social influence	Management & Leadership
marketing coursera requerimientos, planeación, ejecución y medición de estrategias para redes sociales	Marketing
marketing coursera foundations marketing analytics	Marketing
accounting coursera accounting analytics	Accounting
marketing coursera marketing digital world	Marketing
human resources coursera preparing manage human resources	Human Resources
finance edx les principes de la finance	Finance
finance coursera fundamentals revenue management cornerstone revenue strategy	Finance
management & leadership coursera claves para gestionar personas	Management & Leadership
strategic management coursera global trends business society	Strategic Management
business coursera effective sales – overview	Business
marketing coursera research report delivering insights	Marketing
finance coursera budgeting essentials development	Finance
business intelligence coursera research proposal initiating research	Business Intelligence
entrepreneurship coursera legal tech & startups	Entrepreneurship
strategic management coursera first steps making business case sustainability	Strategic Management
management & leadership coursera инструменты позитивной психологии в менеджменте. курс для руководителей	Management & Leadership
marketing coursera работа с клиентской базой и входящий маркетинг	Marketing
marketing coursera market competition pricing strategy	Marketing
marketing coursera strategic innovation building sustaining innovative organizations	Marketing
business coursera landscape restoration sustainable development business approach	Business
strategic management nptel supply chain analytics	Strategic Management
project management nptel project management	Project Management
business coursera quantitative foundations international business	Business
finance coursera matemáticas financieras	Finance
business intelligence coursera visual analytics tableau	Business Intelligence
management & leadership coursera orden y manejo del tiempo	Management & Leadership
management & leadership coursera building high-performing teams	Management & Leadership
finance coursera biases portfolio selection	Finance
business coursera construction scheduling	Business
management & leadership coursera leadership emotional intelligence	Management & Leadership
marketing coursera ethical social media	Marketing
entrepreneurship coursera (re)-invent your business model odyssey 3.14 approach	Entrepreneurship
management & leadership nptel principles human resource management	Management & Leadership
project management coursera it project management	Project Management
entrepreneurship coursera changer le monde passons l'action (creer son entreprise sociale)	Entrepreneurship
finance coursera 企业金融概论（中文版）	Finance
entrepreneurship futurelearn enterprise shed making ideas happen	Entrepreneurship
industry specific coursera fundamentals hotel distribution	Industry Specific
strategic management coursera gestión del canal de distribución y retailing	Strategic Management
marketing coursera managing uncertainty marketing analytics	Marketing
finance coursera financial markets	Finance
entrepreneurship coursera entrepreneurship 3 growth strategies	Entrepreneurship
finance futurelearn business 5 managing finances	Finance
industry specific futurelearn innovation food industry	Industry Specific
entrepreneurship coursera ¿cómo convertir mi idea en empresa?	Entrepreneurship
business intelligence coursera operations analytics	Business Intelligence
strategic management coursera operations management	Strategic Management
strategic management coursera business growth strategy	Strategic Management
entrepreneurship coursera administración estratégica y emprendedora	Entrepreneurship
finance coursera финансовые рынки и институты (financial markets institutions)	Finance
marketing coursera content strategy professionals ensuring your content's impact	Marketing
marketing coursera marketing mix fundamentals	Marketing
accounting coursera accounting business decision making strategy assessment control	Accounting
entrepreneurship coursera private equity venture capital	Entrepreneurship
business futurelearn commercialization social enterprises stemming tide mission drift	Business
finance coursera introducción la contabilidad financiera	Finance
business coursera international business environment	Business
business coursera administración para obtener resultados	Business
marketing coursera marketing customer needs wants	Marketing
business coursera organizational behavior manage people	Business
finance coursera valuación de empresas	Finance
marketing coursera international marketing entry execution	Marketing
accounting coursera accounting principles financial accounting	Accounting
finance coursera инвестиционные проекты, слияния и поглощения	Finance
management & leadership coursera managing as coach	Management & Leadership
finance coursera corporate finance essentials	Finance
marketing coursera content strategy professionals expanding your content’s reach	Marketing
marketing coursera content strategy professionals engaging audiences	Marketing
business coursera models & frameworks support sales planning	Business
business coursera global impact business ethics	Business
marketing coursera 市场营销概论 (中文版）	Marketing
finance coursera finanzas personales	Finance
business coursera globalization business enterprise	Business
business coursera digital product management modern fundamentals	Business
management & leadership coursera relationship management	Management & Leadership
business coursera hidden value – lean manufacturing services	Business
marketing nptel consumer behaviour	Marketing
strategic management coursera more change sustainability	Strategic Management
management & leadership coursera evaluating problems	Management & Leadership
finance coursera evaluación de inversiones en bienes de capital	Finance
management & leadership coursera creating innovation	Management & Leadership
business coursera wine tasting sensory techniques wine analysis	Business
management & leadership coursera strategic organization design	Management & Leadership
"business coursera рынки капитала и финансовые институты или ""о чужих деньгах"""	Business
strategic management coursera supply chain planning	Strategic Management
marketing coursera fundamentos del marketing mix	Marketing
marketing edx marketing analytics competitive analysis market segmentation	Marketing
strategic management coursera estrategia de precios	Strategic Management
finance coursera finance everyone value	Finance
business intelligence coursera data-driven decision making	Business Intelligence
entrepreneurship coursera entrepreneurship 1 developing opportunity	Entrepreneurship
entrepreneurship futurelearn business 6 funding your business	Entrepreneurship
marketing coursera intro international marketing	Marketing
business intelligence coursera fundamentals quantitative modeling	Business Intelligence
finance coursera управление личными финансами	Finance
marketing coursera контекстная реклама. google adwords	Marketing
management & leadership futurelearn innovation world's greatest	Management & Leadership
marketing coursera inglés empresarial el márketing y ventas	Marketing
marketing coursera marketing estratégico claves para competir con éxito	Marketing
management & leadership coursera professional skills international business	Management & Leadership
marketing coursera investigación de mercados y comportamiento del consumidor	Marketing
management & leadership coursera правовые формы ведения бизнеса в россии	Management & Leadership
entrepreneurship coursera transferencia tecnológica de la investigación al mercado.	Entrepreneurship
business coursera sales training techniques human-centric sales process	Business
accounting coursera accounting finance it professionals	Accounting
accounting futurelearn managing public money	Accounting
business intelligence coursera qualitative research	Business Intelligence
marketing coursera global impact cultural psychology	Marketing
accounting coursera accounting analysis ii measurement disclosure liabilities	Accounting
management & leadership coursera personal leadership development planning leading high performing teams	Management & Leadership
business coursera european business law competing europe	Business
strategic management coursera supply chain logistics	Strategic Management
finance coursera valuation startups using multiple approach	Finance
finance coursera finance non-financial managers	Finance
marketing coursera positioning what you need successful marketing strategy	Marketing
finance coursera investment strategies portfolio analysis	Finance
finance coursera finance everyone decisions	Finance
marketing coursera content strategy professionals managing content	Marketing
strategic management coursera making successful decisions through strategy, law & ethics model	Strategic Management
strategic management coursera modeling risk realities	Strategic Management
management & leadership coursera managing employee compensation	Management & Leadership
entrepreneurship coursera launch strategy 5 steps capstone experience	Entrepreneurship
project management coursera project management project	Project Management
management & leadership coursera setting expectations & assessing performance issues	Management & Leadership
entrepreneurship futurelearn business 3 customers competitors	Entrepreneurship
marketing coursera las redes sociales en acción	Marketing
management & leadership coursera programación y presupuesto del proyecto	Management & Leadership
business intelligence coursera introducción la gestión de operaciones	Business Intelligence
finance coursera valuation alternative methods	Finance
strategic management coursera 运营管理概论（中文版）	Strategic Management
management & leadership coursera leadership communication maximum impact storytelling	Management & Leadership
strategic management coursera strategy formulation	Strategic Management
entrepreneurship coursera healthcare innovation entrepreneurship	Entrepreneurship
strategic management nptel management new products services	Strategic Management
finance coursera financing infrastructure african cities	Finance
esl nptel business english communication	ESL
business coursera sales strategy	Business
strategic management coursera global challenges business capstone	Strategic Management
finance coursera fintech transformation financial services	Finance
entrepreneurship futurelearn unleash your potential innovation enterprise	Entrepreneurship
strategic management coursera sustainable business big issues, big changes	Strategic Management
industry specific coursera introdução ao sistema esportivo brasileiro	Industry Specific
management & leadership coursera engineering project management initiating planning	Management & Leadership
management & leadership coursera sustainable innovation subsistence marketplaces	Management & Leadership
strategic management edx retail fundamentals	Strategic Management
strategic management edx omnichannel strategy management	Strategic Management
marketing coursera marketing management ii	Marketing
business edx excel fundamentos y herramientas	Business
marketing coursera publicidad digital con google adwords	Marketing
business intelligence coursera quantitative research	Business Intelligence
marketing coursera маркетинговая стратегия в digital среде (digital marketing strategy)	Marketing
management & leadership edx managing disruptive change	Management & Leadership
marketing coursera customer value pricing strategy	Marketing
marketing nptel services marketing practical approach	Marketing
management & leadership coursera building your leadership skills	Management & Leadership
marketing coursera marketing strategy entrepreneurs	Marketing
business coursera construction cost estimating cost control	Business
business coursera business strategies emerging markets	Business
entrepreneurship coursera unleashing impact your social enterprise	Entrepreneurship
management & leadership coursera creating team culture continuous	Management & Leadership
marketing coursera gestión de marca y producto	Marketing
marketing coursera international b2b (business business) marketing	Marketing
finance coursera оценка стоимости компании	Finance
management & leadership coursera modelos de empresa familiar del capitán al grupo inversor	Management & Leadership
management & leadership coursera managing employee performance	Management & Leadership
strategic management coursera supply chain operations	Strategic Management
marketing coursera meaningful marketing insights	Marketing
marketing coursera arts heritage management	Marketing
accounting coursera accounting business decision making measurement operational decisions	Accounting
entrepreneurship coursera ¿cómo construir mi modelo de negocio?	Entrepreneurship
marketing coursera integrated marketing communications advertising, public relations, digital marketing more	Marketing
strategic management coursera introducción la estrategia	Strategic Management
entrepreneurship coursera mi nueva empresa los siguientes pasos	Entrepreneurship
management & leadership coursera designing organization from strategy organizational structure	Management & Leadership
management & leadership coursera la gestión de los riesgos y la administración de los cambios en el proyecto	Management & Leadership
entrepreneurship futurelearn business 2 people networks	Entrepreneurship
entrepreneurship futurelearn business 4 business processes	Entrepreneurship
industry specific futurelearn innovation fashion industry	Industry Specific
management & leadership coursera high performance collaboration leadership, teamwork, negotiation	Management & Leadership
finance coursera introducción las finanzas corporativas	Finance
management & leadership coursera strategic planning execution	Management & Leadership
marketing coursera social media public relations	Marketing
strategic management coursera strategy implementation	Strategic Management
finance coursera 财务会计概论（中文版）	Finance
entrepreneurship coursera entrepreneurial strategic management	Entrepreneurship
strategic management nptel managing services	Strategic Management
entrepreneurship coursera social entrepreneurship	Entrepreneurship
entrepreneurship coursera technology commercialization, part 1 setting your idea filtering system	Entrepreneurship
entrepreneurship coursera effectuation l'entrepreneuriat pour tous	Entrepreneurship
strategic management coursera scaling operations linking strategy execution	Strategic Management
finance coursera digital competition financial services	Finance
management & leadership coursera time reorganize! understand organizations, act, build meaningful world.	Management & Leadership
marketing coursera marketing internacional en asia	Marketing
management & leadership coursera ethical leadership through giving voice values	Management & Leadership
finance coursera innovation strategy developing your fintech strategy	Finance
industry specific coursera metodologia de sistemas agroindustriais	Industry Specific
finance coursera planning your client's wealth over 5-year horizon	Finance
business coursera camino la excelencia en gestión de proyectos	Business
finance coursera essentials corporate finance capstone	Finance
entrepreneurship coursera l'impact investing innover	Entrepreneurship
entrepreneurship coursera what’s your big idea?	Entrepreneurship
business coursera 沃顿商务基础毕业项目 (中文版)	Business
strategic management coursera desarrollo rápido de productos innovadores para mercados emergentes	Strategic Management
project management futurelearn fundamentals project planning management	Project Management
finance coursera reporting extra-financier et stratégie rse	Finance
strategic management coursera capstone creating sustainability proposal	Strategic Management
finance coursera банковское дело и финансы	Finance
marketing coursera costos para los negocios	Marketing
marketing coursera compra programática de medios publicidad online en tiempo real	Marketing
management & leadership coursera психодиагностика	Management & Leadership
marketing coursera marketing plan	Marketing
business coursera negocios internacionales i	Business
entrepreneurship coursera венчурный капитал	Entrepreneurship
entrepreneurship coursera creating developing tech startup	Entrepreneurship
strategic management coursera les partenariats qui changent le monde alliances innovantes entre entreprises et associations	Strategic Management
finance coursera инвестиции в акции	Finance
finance coursera managerial accounting fundamentals	Finance
management & leadership coursera managing company future	Management & Leadership
accounting coursera accounting analysis i role accounting as information system	Accounting
entrepreneurship edx entrepreneurial negotiations	Entrepreneurship
business coursera teoria geral da administração para executivos	Business
management & leadership coursera diversity inclusion workplace	Management & Leadership
marketing coursera coberturas de riesgo con futuros y opciones para agrobusiness	Marketing
finance coursera contabilidad para no contadores	Finance
management & leadership coursera leadership through design innovation	Management & Leadership
strategic management coursera strategy sustainability	Strategic Management
finance coursera инфраструктура рынка, методы и технологии инвестирования	Finance
finance coursera financial planning young adults	Finance
finance coursera behavioral finance	Finance
finance coursera l'impact investing être acteur	Finance
human resources coursera managing social human capital	Human Resources
management & leadership miríada x liderazgo y gestión de equipos de alto rendimiento	Management & Leadership
management & leadership coursera nonprofit sector, nonprofit organizations, nonprofit leadership governance	Management & Leadership
strategic management coursera subsistence marketplaces	Strategic Management
finance coursera finance everyone debt	Finance
industry specific open2study midwifery	Industry Specific
finance open2study diagnosing financial health business	Finance
entrepreneurship open2study entrepreneurship family business	Entrepreneurship
business intelligence open2study enterprise architecture	Business Intelligence
finance open2study financial planning	Finance
project management edx project management engineering projects preparing success	Project Management
finance coursera investments i fundamentals performance evaluation	Finance
